time,message
2023-04-20 23:18:26,"buena noche, Danis x2 porfa David Rodríguez 22 oct 1990 Zipaquirá a las 5:55pm"
2023-04-20 23:19:13,David hola
2023-04-20 23:19:23,busco novia en Cali
2023-04-20 23:19:30,dejar número
2023-04-20 23:19:40, Hola Dani cómo estás mi fecha es 18 DE DICIEMBRE 1991 MIÉRCOLES 5:35
2023-04-20 23:19:41,jajaja jajaja jajaja jajaja
2023-04-20 23:19:41,hola dani xfa cristian carmona 05 - mayo-1999 pereira a las 3:30 am
2023-04-20 23:20:34,Saludos desde Australia...
2023-04-20 23:20:34,Lee el huevo
2023-04-20 23:20:52,el izquierdo o el derecho
2023-04-20 23:21:03,jajaja jajaja jajaja jajaja
2023-04-20 23:21:08,"lee el huevo, uauuu, pero esas habilidades son dadas por satanas"
